"Region","Hospitalized with symptoms","Intensive Care","Home isolation","Total currently positive","Recovered","Deceased","Total cases","Tested"
"Lombardia", 3852, 560, 1351, 5763, 900, 617, 7280, 25629
"Emilia, Romagna", 745, 104, 739, 1588, 38, 113, 1739, 6640
"Veneto", 262, 68, 610, 940, 54, 29, 1023, 21400
"Piemonte", 319, 75, 86, 480, 0, 21, 501, 2431
"Marche", 212, 66, 183, 461, 0, 18, 479, 1656
"Toscana", 87, 54, 173, 314, 5, 1, 320, 2804
"Liguria", 74, 34, 73, 181, 5, 8, 194, 1025
"Campania", 56, 11, 82, 149, 4, 1, 154, 1375
"Lazio", 67, 18, 40, 125, 19, 6, 150, 3591
"Friuli, V.G.", 16, 5, 89, 110, 10, 6, 126, 2073
"Puglia", 38, 4, 29, 71, 1, 5, 77, 909
"Trento", 28, 4, 42, 74, 3, 0, 77, 527
"Bolzano", 8, 4, 63, 75, 0, 0, 75, 75
"Sicilia", 23, 1, 57, 81, 2, 0, 83, 1194
"Umbria", 7, 5, 32, 44, 2, 0, 46, 340
"Abruzzo", 17, 9, 11, 37, 0, 1, 38, 310
"Sardegna", 10, 0, 27, 37, 0, 0, 37, 283
"Valle, d'Aosta", 2, 0, 17, 19, 0, 1, 20, 99
"Calabria", 10, 2, 5, 17, 2, 0, 19, 405
"Molise", 4, 3, 9, 16, 0, 0, 16, 233
"Basilicata", 1, 1, 6, 8, 0, 0, 8, 155
"Total", 5838, 1028, 3724, 10590, 1045, 827, 12462, 73154
