"Region","Hospitalized with symptoms","Intensive Care","Home isolation","Total currently positive","Recovered","Deceased","Total cases","Tested"
Lombardia, 7285, 924, 4057, 12266, 3488, 1959, 17713, 48983
Emilia Romagna, 1784, 247, 1884, 3915, 152, 458, 4525, 15461
Veneto, 646, 195, 2112, 2953, 167, 94, 3214, 40841
Piemonte, 1780, 227, 180, 2187, 0, 154, 2341, 7516
Marche, 638, 119, 719, 1476, 0, 92, 1568, 4109
Toscana, 427, 160, 704, 1291, 17, 22, 1330, 7606
Liguria, 401, 100, 243, 744, 70, 73, 887, 2912
Lazio, 374, 44, 232, 650, 42, 32, 724, 11145
Campania, 127, 24, 272, 423, 28, 9, 460, 2685
Friuli V.G., 128, 27, 261, 416, 15, 31, 462, 4958
Trento, 141, 22, 273, 436, 12, 7, 455, 2187
Bolzano, 79, 18, 269, 366, 1, 9, 376, 2844
Puglia, 156, 30, 176, 362, 2, 19, 383, 3433
Sicilia, 100, 29, 138, 267, 12, 3, 282, 3294
Abruzzo, 99, 41, 109, 249, 7, 7, 263, 2054
Umbria, 54, 21, 166, 241, 4, 2, 247, 1601
Valle d'Aosta, 41, 3, 118, 162, 0, 3, 165, 486
Sardegna, 42, 7, 83, 132, 0, 2, 134, 1135
Calabria, 45, 11, 70, 126, 2, 1, 129, 1668
Molise, 7, 6, 8, 21, 6, 1, 28, 361
Basilicata, 9, 2, 16, 27, 0, 0, 27, 262
TOTALE, 14363, 2257, 12090, 28710, 4025, 2978, 35713, 165541
