"Region","Hospitalized with symptoms","Intensive Care","Home isolation","Total currently positive","Recovered","Deceased","Total cases","Tested"
Lombardia, 7387, 1006, 5545, 13938, 3778, 2168, 19884, 52244
Emilia Romagna, 1900, 260, 2346, 4506, 177, 531, 5214, 18344
Veneto, 771, 209, 2189, 3169, 200, 115, 3484, 44658
Piemonte, 2279, 257, 218, 2754, 3, 175, 2932, 8853
Marche, 656, 141, 825, 1622, 0, 115, 1737, 4512
Toscana, 501, 178, 743, 1422, 22, 38, 1482, 8873
Liguria, 491, 112, 280, 883, 85, 91, 1059, 3348
Lazio, 426, 45, 270, 741, 44, 38, 823, 11145
Campania, 213, 36, 356, 605, 30, 17, 652, 3544
Friuli V.G., 134, 29, 359, 522, 41, 36, 599, 4052
Trento, 169, 30, 292, 491, 20, 12, 523, 2203
Bolzano, 87, 18, 316, 421, 1, 14, 436, 3568
Puglia, 173, 31, 245, 449, 4, 25, 478, 4046
Sicilia, 143, 36, 142, 321, 15, 4, 340, 3961
Abruzzo, 181, 47, 138, 366, 8, 11, 385, 2409
Umbria, 69, 21, 238, 328, 4, 2, 334, 1954
Valle d'Aosta, 47, 9, 153, 209, 0, 6, 215, 608
Sardegna, 43, 9, 152, 204, 0, 2, 206, 1334
Calabria, 60, 13, 91, 164, 2, 3, 169, 2342
Molise, 19, 6, 13, 38, 6, 2, 46, 426
Basilicata, 8, 5, 24, 37, 0, 0, 37, 353
TOTALE, 15757, 2498, 14935, 33190, 4440, 3405, 41035, 182777
