"region", "infected", "deceased"
"Andalucía", 437, 6
"Aragón", 147, 7
"Asturias", 137, 1
"Baleares", 28, 1
"Canarias", 109, 1
"Cantabria", 51, 0
"Castilla La Mancha", 401, 10
"Castilla y León", 292, 6
"Cataluña", 715, 8
"Ceuta", 1, 0
"C. Valenciana", 409, 5
"Extremadura", 95, 2
"Galicia", 195, 2
"Madrid", 3544, 213
"Melilla", 8, 0
"Murcia", 71, 0
"Navarra", 183, 0
"País Vasco", 630, 23
"La Rioja", 300, 3
